지역,지점수,비율
서울,117개,19.09%
부산,31개,5.06%
대구,25개,4.08%
대전,24개,3.92%
인천,42개,6.85%
광주,19개,3.10%
울산,16개,2.61%
제주,16개,2.61%
경기,108개,17.62%
강원,34개,5.55%
충북,24개,3.92%
충남,40개,3.92%
전북,22개,3.59%
전남,25개,4.08%
경북,32개,5.22%
경남,34개,5.55%
